"dep","jour","hosp","rea","radc","dcc","dc","rad"
"1",2020-03-18,2,0,1,0,0,1
"2",2020-03-18,41,10,18,11,11,18
"3",2020-03-18,4,0,1,0,0,1
"4",2020-03-18,3,1,2,0,0,2
"5",2020-03-18,8,1,9,0,0,9
"6",2020-03-18,25,1,47,2,2,47
"7",2020-03-18,12,1,0,0,0,0
"8",2020-03-18,0,0,1,0,0,1
"9",2020-03-18,1,1,2,0,0,2
"10",2020-03-18,5,0,0,0,0,0
"11",2020-03-18,8,7,9,3,3,9
"12",2020-03-18,7,2,1,0,0,1
"13",2020-03-18,98,11,59,4,4,59
"14",2020-03-18,4,1,0,0,0,0
"15",2020-03-18,2,1,0,0,0,0
"16",2020-03-18,1,0,0,0,0,0
"17",2020-03-18,5,2,2,0,0,2
"18",2020-03-18,0,0,0,0,0,0
"19",2020-03-18,0,0,0,0,0,0
"21",2020-03-18,60,16,4,0,0,4
"22",2020-03-18,1,1,3,0,0,3
"23",2020-03-18,0,0,0,0,0,0
"24",2020-03-18,2,1,1,0,0,1
"25",2020-03-18,26,3,8,1,1,8
"26",2020-03-18,17,2,0,0,0,0
"27",2020-03-18,0,0,0,0,0,0
"28",2020-03-18,5,3,0,1,1,0
"29",2020-03-18,13,5,3,0,0,3
"2A",2020-03-18,0,0,0,0,0,0
"2B",2020-03-18,0,0,0,0,0,0
"30",2020-03-18,5,3,6,0,0,6
"31",2020-03-18,23,5,11,0,0,11
"32",2020-03-18,1,1,0,0,0,0
"33",2020-03-18,7,4,3,1,1,3
"34",2020-03-18,37,15,18,2,2,18
"35",2020-03-18,7,3,0,0,0,0
"36",2020-03-18,0,0,0,0,0,0
"37",2020-03-18,4,1,0,0,0,0
"38",2020-03-18,18,2,0,1,1,0
"39",2020-03-18,2,1,1,0,0,1
"40",2020-03-18,0,0,0,0,0,0
"41",2020-03-18,0,0,0,0,0,0
"42",2020-03-18,31,10,3,1,1,3
"43",2020-03-18,1,1,5,0,0,5
"44",2020-03-18,18,3,7,1,1,7
"45",2020-03-18,5,1,0,0,0,0
"46",2020-03-18,0,0,1,0,0,1
"47",2020-03-18,10,4,1,0,0,1
"48",2020-03-18,1,0,0,0,0,0
"49",2020-03-18,12,1,26,0,0,26
"50",2020-03-18,7,0,1,0,0,1
"51",2020-03-18,35,7,6,1,1,6
"52",2020-03-18,4,0,0,1,1,0
"53",2020-03-18,4,0,2,0,0,2
"54",2020-03-18,42,19,1,5,5,1
"55",2020-03-18,11,3,0,0,0,0
"56",2020-03-18,39,14,63,7,7,63
"57",2020-03-18,169,34,11,16,16,11
"58",2020-03-18,0,0,0,0,0,0
"59",2020-03-18,106,26,16,3,3,16
"60",2020-03-18,94,22,18,6,6,18
"61",2020-03-18,4,0,2,0,0,2
"62",2020-03-18,22,9,16,0,0,16
"63",2020-03-18,10,2,3,0,0,3
"64",2020-03-18,5,0,0,0,0,0
"65",2020-03-18,0,0,0,0,0,0
"66",2020-03-18,9,5,1,0,0,1
"67",2020-03-18,210,58,4,15,15,4
"68",2020-03-18,371,77,116,74,74,116
"69",2020-03-18,36,8,10,0,0,10
"70",2020-03-18,14,4,2,0,0,2
"71",2020-03-18,35,0,4,5,5,4
"72",2020-03-18,9,0,1,0,0,1
"73",2020-03-18,8,0,3,0,0,3
"74",2020-03-18,31,8,43,5,5,43
"75",2020-03-18,359,105,40,14,14,40
"76",2020-03-18,30,3,3,3,3,3
"77",2020-03-18,25,13,10,0,0,10
"78",2020-03-18,69,18,5,5,5,5
"79",2020-03-18,2,1,2,0,0,2
"80",2020-03-18,50,20,9,1,1,9
"81",2020-03-18,2,0,2,0,0,2
"82",2020-03-18,1,0,0,1,1,0
"83",2020-03-18,23,7,78,0,0,78
"84",2020-03-18,9,3,7,1,1,7
"85",2020-03-18,1,0,0,0,0,0
"86",2020-03-18,7,0,0,1,1,0
"87",2020-03-18,2,0,2,0,0,2
"88",2020-03-18,32,6,7,8,8,7
"89",2020-03-18,6,0,1,0,0,1
"90",2020-03-18,25,9,0,0,0,0
"91",2020-03-18,51,16,0,1,1,0
"92",2020-03-18,149,48,22,4,4,22
"93",2020-03-18,92,33,15,5,5,15
"94",2020-03-18,122,32,16,5,5,16
"95",2020-03-18,90,29,21,2,2,21
"971",2020-03-18,0,0,0,0,0,0
"972",2020-03-18,16,5,0,1,1,0
"973",2020-03-18,0,0,0,0,0,0
"974",2020-03-18,2,2,0,0,0,0
"976",2020-03-18,0,0,0,0,0,0
"1",2020-03-19,2,0,1,0,0,0
"2",2020-03-19,43,15,33,19,8,15
"3",2020-03-19,0,0,7,0,0,6
"4",2020-03-19,3,1,3,0,0,1
"5",2020-03-19,10,1,10,0,0,1
"6",2020-03-19,33,5,48,2,0,1
"7",2020-03-19,11,2,0,0,0,0
"8",2020-03-19,0,0,1,0,0,0
"9",2020-03-19,1,1,2,0,0,0
"10",2020-03-19,6,1,0,0,0,0
"12",2020-03-19,9,2,2,1,1,1
"13",2020-03-19,128,20,97,4,0,38
"14",2020-03-19,4,1,1,0,0,1
"15",2020-03-19,3,1,0,0,0,0
"16",2020-03-19,0,0,2,0,0,2
"17",2020-03-19,7,2,2,0,0,0
"18",2020-03-19,0,0,0,0,0,0
"19",2020-03-19,1,0,0,0,0,0
"21",2020-03-19,53,19,28,2,2,24
"22",2020-03-19,2,1,3,0,0,0
"23",2020-03-19,0,0,0,0,0,0
"24",2020-03-19,2,1,1,0,0,0
"25",2020-03-19,33,11,10,2,1,2
"26",2020-03-19,32,8,2,0,0,2
"27",2020-03-19,1,1,0,1,1,0
"28",2020-03-19,11,4,0,1,0,0
"29",2020-03-19,17,5,6,0,0,3
"2A",2020-03-19,1,0,1,1,1,1
"2B",2020-03-19,0,0,0,0,0,0
"30",2020-03-19,4,1,7,1,1,1
"31",2020-03-19,26,6,13,1,1,2
"32",2020-03-19,3,3,0,0,0,0
"33",2020-03-19,7,5,7,2,1,4
"34",2020-03-19,49,18,21,4,2,3
"35",2020-03-19,16,8,15,0,0,15
"36",2020-03-19,3,0,0,0,0,0
"37",2020-03-19,6,3,0,0,0,0
"38",2020-03-19,22,2,3,1,0,3
"39",2020-03-19,2,1,1,0,0,0
"40",2020-03-19,0,0,0,0,0,0
"41",2020-03-19,2,0,1,0,0,1
"42",2020-03-19,48,18,8,3,2,5
"43",2020-03-19,1,1,5,0,0,0
"44",2020-03-19,24,6,9,1,0,2
"45",2020-03-19,9,3,0,0,0,0
"46",2020-03-19,0,0,1,0,0,0
"47",2020-03-19,10,1,1,0,0,0
"48",2020-03-19,1,0,0,0,0,0
"49",2020-03-19,16,3,28,0,0,2
"50",2020-03-19,6,0,2,0,0,1
"51",2020-03-19,39,7,14,2,1,8
"52",2020-03-19,4,0,0,1,0,0
"53",2020-03-19,5,1,3,0,0,1
"54",2020-03-19,54,23,1,6,1,0
"55",2020-03-19,35,3,4,0,0,4
"57",2020-03-19,194,46,15,19,3,4
"58",2020-03-19,0,0,0,0,0,0
"59",2020-03-19,138,35,36,5,2,20
"60",2020-03-19,109,21,23,14,8,5
"61",2020-03-19,2,0,3,0,0,1
"62",2020-03-19,30,11,25,0,0,9
"63",2020-03-19,9,1,4,0,0,1
"64",2020-03-19,9,0,1,0,0,1
"65",2020-03-19,2,1,0,0,0,0
"66",2020-03-19,19,11,3,3,3,2
"67",2020-03-19,302,82,13,18,3,9
"68",2020-03-19,437,73,131,91,17,15
"69",2020-03-19,210,33,48,12,12,38
"70",2020-03-19,14,3,3,0,0,1
"71",2020-03-19,48,3,7,5,0,3
"72",2020-03-19,8,0,5,0,0,4
"73",2020-03-19,10,2,5,0,0,2
"74",2020-03-19,37,11,49,6,1,6
"75",2020-03-19,453,122,62,22,8,22
"76",2020-03-19,33,4,3,4,1,0
"77",2020-03-19,48,13,15,0,0,5
"78",2020-03-19,92,20,7,6,1,2
"79",2020-03-19,3,1,3,0,0,1
"80",2020-03-19,74,23,12,2,1,3
"81",2020-03-19,5,1,2,0,0,0
"82",2020-03-19,1,0,0,1,0,0
"83",2020-03-19,27,13,86,2,2,8
"84",2020-03-19,12,4,9,1,0,2
"85",2020-03-19,5,1,5,0,0,5
"86",2020-03-19,7,0,0,1,0,0
"87",2020-03-19,6,1,2,0,0,0
"88",2020-03-19,38,6,8,11,3,1
"89",2020-03-19,5,1,1,2,2,0
"90",2020-03-19,39,9,0,3,3,0
"91",2020-03-19,82,22,4,1,0,4
"92",2020-03-19,206,54,31,7,3,9
"93",2020-03-19,143,45,21,5,0,6
"94",2020-03-19,182,47,41,10,5,25
"95",2020-03-19,150,37,32,5,3,11
"971",2020-03-19,0,0,0,0,0,0
"972",2020-03-19,17,5,0,1,0,0
"973",2020-03-19,0,0,0,0,0,0
"974",2020-03-19,2,2,0,0,0,0
"976",2020-03-19,0,0,0,0,0,0
"1",2020-03-20,2,0,1,0,0,0
"2",2020-03-20,52,19,40,24,5,7
"3",2020-03-20,1,0,10,0,0,3
"4",2020-03-20,3,1,3,0,0,0
"5",2020-03-20,13,1,10,0,0,0
"6",2020-03-20,43,7,61,4,2,13
"7",2020-03-20,15,3,3,1,1,3
"8",2020-03-20,1,1,1,0,0,0
"9",2020-03-20,2,1,2,0,0,0
"10",2020-03-20,12,2,0,0,0,0
"11",2020-03-20,26,11,13,8,2,5
"12",2020-03-20,12,2,3,1,0,1
"13",2020-03-20,174,26,108,4,0,11
"14",2020-03-20,4,1,3,1,1,2
"15",2020-03-20,4,1,0,0,0,0
"16",2020-03-20,1,0,2,0,0,0
"17",2020-03-20,9,3,2,0,0,0
"18",2020-03-20,0,0,0,0,0,0
"19",2020-03-20,1,0,0,0,0,0
"21",2020-03-20,82,31,37,3,1,9
"22",2020-03-20,5,0,3,1,1,0
"23",2020-03-20,0,0,0,0,0,0
"24",2020-03-20,3,3,2,0,0,1
"25",2020-03-20,43,15,13,4,2,3
"26",2020-03-20,38,9,2,2,2,0
"27",2020-03-20,4,1,0,1,0,0
"28",2020-03-20,12,2,0,1,0,0
"29",2020-03-20,20,4,6,1,1,0
"2A",2020-03-20,60,14,10,3,2,9
"2B",2020-03-20,6,0,23,0,0,23
"30",2020-03-20,8,1,7,1,0,0
"31",2020-03-20,35,10,16,2,1,3
"32",2020-03-20,3,3,0,0,0,0
"33",2020-03-20,10,5,12,2,0,5
"34",2020-03-20,61,21,24,4,0,3
"35",2020-03-20,20,9,17,1,1,2
"36",2020-03-20,4,1,0,0,0,0
"37",2020-03-20,12,5,0,1,1,0
"38",2020-03-20,27,2,10,1,0,7
"39",2020-03-20,6,1,2,0,0,1
"40",2020-03-20,0,0,0,0,0,0
"42",2020-03-20,63,17,9,4,1,1
"43",2020-03-20,2,2,6,0,0,1
"44",2020-03-20,30,10,11,1,0,2
"45",2020-03-20,26,5,2,0,0,2
"46",2020-03-20,0,0,2,0,0,1
"47",2020-03-20,10,1,1,0,0,0
"48",2020-03-20,1,0,0,0,0,0
